"OpnameID";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"IV2017021716250537";"Molinia caerulea (L.) Moench";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Agrostis canina L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Juncus acutiflorus Ehrh. ex Hoffmann";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Calamagrostis canescens (Weber) Roth";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Stellaria uliginosa Murray";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Equisetum palustre L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Filipendula ulmaria (L.) Maxim.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Galium palustre L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Ranunculus flammula L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Rumex hydrolapathum Huds.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Galium uliginosum L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Iris pseudacorus L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Peucedanum palustre (L.) Moench";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Sparganium erectum L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Caltha palustris L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Scirpus sylvaticus L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Phragmites australis (Cav.) Steud.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Carex acuta L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Alisma plantago-aquatica L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Typha latifolia L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Eleocharis palustris (L.) Roem. et Schult.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Valeriana repens Host";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Salix";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Rhamnus frangula L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Alnus glutinosa (L.) Gaertn.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Sorbus aucuparia L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Solanum dulcamara L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Carex pseudocyperus L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Dryopteris dilatata (Hoffmann) A. Gray";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Myrica gale L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Epilobium ciliatum Rafin.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Bidens cernua L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Epilobium palustre L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Persicaria hydropiper (L.) Spach";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Lotus pedunculatus Cav.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Leersia oryzoides (L.) Swartz";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Calliergon giganteum (Schimp.) Kindb.";3;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Brachythecium rutabulum (Hedw.) Schimp.";1,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Plagiomnium ellipticum (Brid.) T.J.Kop.";1,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Rhamnus frangula L.";1,5;"struiklaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Alnus glutinosa (L.) Gaertn.";27,5;"struiklaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Rumex conglomeratus Murray";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Cardamine pratensis L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Lycopus europaeus L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Lysimachia vulgaris L.";15;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Juncus effusus L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Lythrum salicaria L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Carex rostrata Stokes";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Agrostis canina L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Holcus lanatus L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Equisetum palustre L.";37,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Filipendula ulmaria (L.) Maxim.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Galium palustre L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Ranunculus flammula L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Rumex hydrolapathum Huds.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Iris pseudacorus L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Carex nigra (L.) Reichard";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Caltha palustris L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Phragmites australis (Cav.) Steud.";37,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Carex acuta L.";62,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Carex disticha Huds.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Glyceria maxima (Hartm.) Holmberg";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Symphytum officinale L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Quercus robur L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Poa palustris L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Alnus glutinosa (L.) Gaertn.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Juncus articulatus L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Epilobium";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Epilobium parviflorum Schreb.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Salix cinerea L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Myosotis scorpioides L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Juncus bulbosus L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Carex diandra Schrank";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Lotus pedunculatus Cav.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Veronica scutellata L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Silene flos-cuculi (L.) Greuter et Burdet";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Galium palustre subsp. elongatum (C. Presl) Lange";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Calliergonella";3;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Salix";0,5;"struiklaag";"soort_latijn";"Percentage";;"%"
"IV2018031112563585";"Alnus glutinosa (L.) Gaertn.";0,5;"struiklaag";"soort_latijn";"Percentage";;"%"
"IV2017012711062779";"Molinia caerulea (L.) Moench";6,875;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012711062779";"Eriophorum angustifolium Honck.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012711062779";"Phragmites australis (Cav.) Steud.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012711062779";"Betula pendula Roth";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012711062779";"Erica tetralix L.";87,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012711062779";"Narthecium ossifragum (L.) Huds.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012711062779";"Pinus sylvestris L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012711062779";"Myrica gale L.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012711062779";"Vaccinium oxycoccos L.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012711062779";"Sphagnum magellanicum Brid.";1,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017012711062779";"Sphagnum papillosum Lindb.";87,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017020318100730";"Lysimachia vulgaris L.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020318100730";"Juncus effusus L.";6,875;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020318100730";"Carex rostrata Stokes";6,875;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020318100730";"Comarum palustre L.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020318100730";"Molinia caerulea (L.) Moench";21,875;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020318100730";"Agrostis canina L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017020318100730";"Calamagrostis canescens (Weber) Roth";6,875;"kruidlaag";"soort_latijn";"Percentage";;"%"
