"ID";"SBZH";"Habitattype";"Weight";"Date";"Regio";"TypePlot";"Jaar";"RangNr";"StratumWeight";"fps"
"433362";"Binnen";"2310";1;2014-09-08;"Atlantic";"vegetatieopname";2014;40;41,4513647749938;21555
"445266";"Binnen";"2330_bu";0,599105380380149;2014-08-27;"Atlantic";"vegetatieopname";2014;16;16,7230246124945;5853
"458462";"Binnen";"2310";1;2014-09-02;"Atlantic";"vegetatieopname";2014;41;41,4513647749938;21555
"459222";"Binnen";"2310";1;2014-09-26;"Atlantic";"vegetatieopname";2014;42;41,4513647749938;21555
"463798";"Binnen";"2310";1;2014-09-09;"Atlantic";"vegetatieopname";2014;43;41,4513647749938;21555
"476086";"Binnen";"2310";0,675019340921222;2014-09-04;"Atlantic";"vegetatieopname";2014;44;41,4513647749938;21555
"488054";"Binnen";"2310";1;2014-09-23;"Atlantic";"vegetatieopname";2014;45;41,4513647749938;21555
"488374";"Binnen";"4030";1;2014-09-08;"Atlantic";"vegetatieopname";2014;36;114,382132088648;40034
"492470";"Binnen";"4030";0,287068360317604;2014-09-04;"Atlantic";"vegetatieopname";2014;37;114,382132088648;40034
"498514";"Binnen";"2310";1;2014-08-27;"Atlantic";"vegetatieopname";2014;46;41,4513647749938;21555
"502610";"Binnen";"2310";1;2017-07-10;"Atlantic";"vegetatieopname";2017;47;41,4513647749938;21555
"503414";"Binnen";"2330_bu";0,999970507446378;2016-10-05;"Atlantic";"vegetatieopname";2016;17;16,7230246124945;5853
"504542";"Binnen";"2310";0,999970507446378;2016-09-19;"Atlantic";"vegetatieopname";2016;48;41,4513647749938;21555
"546002";"Binnen";"2310";1;2017-07-17;"Atlantic";"vegetatieopname";2017;49;41,4513647749938;21555
"551218";"Binnen";"2310";1;2017-06-28;"Atlantic";"vegetatieopname";2017;50;41,4513647749938;21555
"579958";"Binnen";"2310";0,251504107602007;2016-09-28;"Atlantic";"vegetatieopname";2016;51;41,4513647749938;21555
"583030";"Binnen";"2330_bu";0,999970507446378;2016-09-29;"Atlantic";"vegetatieopname";2016;18;16,7230246124945;5853
"602846";"Binnen";"2330_bu";0,999970507446378;2016-10-03;"Atlantic";"vegetatieopname";2016;19;16,7230246124945;5853
"648566";"Binnen";"2330_bu";0,999970507446378;2016-09-29;"Atlantic";"vegetatieopname";2016;20;16,7230246124945;5853
"656246";"Binnen";"2330_bu";0,999970507446378;2016-10-05;"Atlantic";"vegetatieopname";2016;21;16,7230246124945;5853
"659382";"Binnen";"2330_bu";1;2017-07-20;"Atlantic";"vegetatieopname";2017;22;16,7230246124945;5853
"714198";"Binnen";"2330_bu";0,999970507446378;2016-10-14;"Atlantic";"vegetatieopname";2016;23;16,7230246124945;5853
"714230";"Binnen";"2330_bu";0,999970507446378;2016-09-28;"Atlantic";"vegetatieopname";2016;24;16,7230246124945;5853
