"Scenario";"Meting";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Status_indicator";"Belang";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";TRUE;"zb";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017120112565263";1040518;6230;"6230_hn";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";"Atlantic";73;7,67647058823529;5,60382352941176
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017120112565263";1040518;6230;"6230_hn";"Versie 2.0";"Structuur";"hoogopschietende soorten";TRUE;"b";"Binnen";"Atlantic";73;7,67647058823529;5,60382352941176
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017120112565263";1040518;6230;"6230_hn";"Versie 2.0";"Structuur";"horizontale structuur";TRUE;"b";"Binnen";"Atlantic";73;7,67647058823529;5,60382352941176
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017120112213868";1040518;6230;"6230_hn";"Versie 2.0";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";"Atlantic";73;7,67647058823529;5,60382352941176
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017120112565263";1040518;6230;"6230_hn";"Versie 2.0";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";"Atlantic";73;7,67647058823529;5,60382352941176
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017120112565263";1040518;6230;"6230_hn";"Versie 2.0";"Verstoring";"verbossing";TRUE;"b";"Binnen";"Atlantic";73;7,67647058823529;5,60382352941176
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017120112565263";1040518;6230;"6230_hn";"Versie 2.0";"Verstoring";"verruiging";TRUE;"zb";"Binnen";"Atlantic";73;7,67647058823529;5,60382352941176
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017120112565263";1040518;6230;"6230_hn";"Versie 2.0";"Verstoring";"vervilting";FALSE;"zb";"Binnen";"Atlantic";73;7,67647058823529;5,60382352941176
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017120112565263";1040518;6230;"6230_hn";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";"Atlantic";73;7,67647058823529;5,60382352941176
