"Scenario";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"Cirkelplot";"IV2017021012213856";544902;6230;"6230_ha";"Versie 2.0";"Binnen";98;9,00623917481993;8,82611439132353;3;6;1;50;0
"Cirkelplot";"IV2017021012213856";544902;6230;"6230_ha";"Versie 3";"Binnen";98;9,00623917481993;8,82611439132353;6;9;2;66,6666666666667;0
"Cirkelplot";"IV2017021016462422";1618054;6410;"6410_ve";"Versie 2.0";"Binnen";100;3,07492932108213;3,07492932108213;8;11;3;72,7272727272727;0
"Cirkelplot";"IV2017021016462422";1618054;6410;"6410_ve";"Versie 3";"Binnen";100;3,07492932108213;3,07492932108213;5;13;6;38,4615384615385;0
"Cirkelplot";"IV2017021017175886";6152326;6410;"6410_mo";"Versie 2.0";"Binnen";75;0,365917673627072;0,274438255220304;8;11;3;72,7272727272727;0
"Cirkelplot";"IV2017021017175886";6152326;6410;"6410_mo";"Versie 3";"Binnen";75;0,365917673627072;0,274438255220304;10;13;3;76,9230769230769;0
"Cirkelplot";"IV2017021018002273";1286278;6410;"6410_ve";"Versie 2.0";"Binnen";50;3,07492932108213;1,53746466054106;7;11;2;63,6363636363636;0
"Cirkelplot";"IV2017021018002273";1286278;6410;"6410_ve";"Versie 3";"Binnen";50;3,07492932108213;1,53746466054106;8;13;2;61,5384615384615;0
"Cirkelplot";"IV2017021310384624";4975814;6410;"6410_mo";"Versie 2.0";"Binnen";60;0,365917673627072;0,219550604176243;10;11;1;90,9090909090909;0
"Cirkelplot";"IV2017021310384624";4975814;6410;"6410_mo";"Versie 3";"Binnen";60;0,365917673627072;0,219550604176243;12;13;1;92,3076923076923;0
"Cirkelplot";"IV2017021311505729";4598982;6410;"6410_mo";"Versie 2.0";"Binnen";50;0,365917673627072;0,182958836813536;11;11;0;100;1
"Cirkelplot";"IV2017021311505729";4598982;6410;"6410_mo";"Versie 3";"Binnen";50;0,365917673627072;0,182958836813536;12;13;1;92,3076923076923;0
"Cirkelplot";"IV2017021312415166";9087041;6410;"6410_ve";"Versie 2.0";"Binnen";90;3,07492932108213;2,76743638897391;10;11;1;90,9090909090909;0
"Cirkelplot";"IV2017021312415166";9087041;6410;"6410_ve";"Versie 3";"Binnen";90;3,07492932108213;2,76743638897391;10;13;2;76,9230769230769;0
"Cirkelplot";"IV2017021313300649";2898758;6410;"6410_mo";"Versie 2.0";"Binnen";64;0,365917673627072;0,234187311121326;11;11;0;100;1
"Cirkelplot";"IV2017021313300649";2898758;6410;"6410_mo";"Versie 3";"Binnen";64;0,365917673627072;0,234187311121326;12;13;1;92,3076923076923;0
"Cirkelplot";"IV2017021314354987";1022766;6230;"6230_hmo";"Versie 2.0";"Binnen";30;2,27842490061699;0,683527470185096;8;9;1;88,8888888888889;0
"Cirkelplot";"IV2017021314354987";1022766;6230;"6230_hmo";"Versie 3";"Binnen";30;2,27842490061699;0,683527470185096;9;11;2;81,8181818181818;0
"Cirkelplot";"IV2017021410455484";3016210;6410;"6410_mo";"Versie 2.0";"Buiten";100;0,729345731337661;0,729345731337661;9;11;1;81,8181818181818;0
"Cirkelplot";"IV2017021410455484";3016210;6410;"6410_mo";"Versie 3";"Buiten";100;0,729345731337661;0,729345731337661;11;13;2;84,6153846153846;0
"Cirkelplot";"IV2017021413520341";498886;6410;"6410_mo";"Versie 2.0";"Binnen";80;0,365917673627072;0,292734138901657;6;11;2;54,5454545454545;0
"Cirkelplot";"IV2017021413520341";498886;6410;"6410_mo";"Versie 3";"Binnen";80;0,365917673627072;0,292734138901657;9;13;1;69,2307692307692;0
