"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";3;4,03485576923077;0;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";47;59,8660592443607;6,81;2,03;20,5
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen";25;26,0775091881555;7,97;1,13;39,54
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";"Structuur";"horizontale structuur - groeiklassen";"b";"Buiten";22;33,7885500562052;5,92;1,42;21,56
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";19;27,1784542143038;0;0;0
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";15;17,5752400726706;0;0;0
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";10;11,0775091881555;36,81;12,21;70,93
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";3;4,03485576923077;0;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 3";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";47;59,8660592443607;70,38;54,56;82,46
"Vlaanderen";1;"SBZH";"Versie 3";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen";25;26,0775091881555;96,17;76,82;99,48
"Vlaanderen";1;"SBZH";"Versie 3";"91E0";"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";"Structuur";"horizontale structuur - groeiklassen";"b";"Buiten";22;33,7885500562052;50,48;29,67;71,12
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";19;27,1784542143038;70,24;43,27;87,95
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";15;17,5752400726706;84,96;54,56;96,37
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";10;11,0775091881555;36,81;12,21;70,93
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Structuur";"horizontale structuur - groeiklassen";"b";"Binnen & Buiten";3;4,03485576923077;100;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";47;59,8660592443607;27,24;16,21;42,02
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen";25;26,0775091881555;42,18;24,51;62,12
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";"Structuur";"minimum structuurareaal";"zb";"Buiten";22;33,7885500562052;15,72;5,1;39,3
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";19;27,1784542143038;29,52;13,5;52,92
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";15;17,5752400726706;41,47;19,47;67,48
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";10;11,0775091881555;0;0;0
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";3;4,03485576923077;24,78;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 3";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";47;59,8660592443607;27,24;16,21;42,02
"Vlaanderen";1;"SBZH";"Versie 3";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen";25;26,0775091881555;42,18;24,51;62,12
"Vlaanderen";1;"SBZH";"Versie 3";"91E0";"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";"Structuur";"minimum structuurareaal";"zb";"Buiten";22;33,7885500562052;15,72;5,1;39,3
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";19;27,1784542143038;29,52;13,5;52,92
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";15;17,5752400726706;41,47;19,47;67,48
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";10;11,0775091881555;0;0;0
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";3;4,03485576923077;24,78;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Structuur";"verticale structuur";"b";"Binnen & Buiten";47;59,8660592443607;90,54;76,38;96,59
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Structuur";"verticale structuur";"b";"Binnen";25;26,0775091881555;92,33;73,6;98,11
