"Schaal";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Buiten";75;141,731738966511;69,79;46,58;85,95
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";30;342,2;94,01;78,59;98,53
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";47;61,5088071194143;76,22;61,25;86,66
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";25;23,9007329514447;61,93;40,6;79,48
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";38;41,6171850506099;55,54;39,25;70,72
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";39;43,0960588041952;42,25;26,99;59,15
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";18;18,8127710971964;62,72;37,99;82,21
"Vlaanderen";"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";202;536,827861799649;10,59;7,2;15,3
"Vlaanderen";"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen";126;393,07381605635;6,68;4,13;10,63
"Vlaanderen";"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Buiten";76;143,754045743298;21,28;9,8;40,2
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";30;342,2;0;0;0
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";51;66,2011138962023;46,13;32,33;60,55
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vc";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";25;23,9007329514447;18,25;6,93;40,09
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";38;41,6171850506099;17,98;8,62;33,76
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";39;43,0960588041952;33,54;19,84;50,71
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Vlaanderen";"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";202;536,827861799649;33,25;22,67;45,85
"Vlaanderen";"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen";126;393,07381605635;39,07;26,42;53,39
"Vlaanderen";"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Buiten";76;143,754045743298;17,33;7,77;34,29
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";30;342,2;35,93;20,24;55,33
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";51;66,2011138962023;30,65;19,07;45,33
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";25;23,9007329514447;45,58;26,51;66,04
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";38;41,6171850506099;15,41;6,9;30,95
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";39;43,0960588041952;14,03;5,66;30,74
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";19;19,8127710971964;60,15;36,42;79,91
"Vlaanderen";"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";202;536,827861799649;69,8;53,93;82,02
"Vlaanderen";"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Verstoring";"ruderalisering";"zb";"Binnen";126;393,07381605635;81,27;68,25;89,75
"Vlaanderen";"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Verstoring";"ruderalisering";"zb";"Buiten";76;143,754045743298;38,42;17,68;64,44
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";30;342,2;71,85;45,76;88,54
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";51;66,2011138962023;58,14;43,37;71,57
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vc";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";25;23,9007329514447;56,17;35,26;75,1
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";38;41,6171850506099;92,79;79,74;97,68
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";39;43,0960588041952;44,42;29,01;60,98
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";19;19,8127710971964;96,59;78,87;99,54
"Vlaanderen";"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen & Buiten";202;536,827861799649;34,38;25,25;44,82
"Vlaanderen";"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen";126;393,07381605635;25,48;17,77;35,1
"Vlaanderen";"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Buiten";76;143,754045743298;58,71;23,67;86,7
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen & Buiten";30;342,2;2,99;0,41;18,7
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen & Buiten";51;66,2011138962023;81,97;67,32;90,93
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen & Buiten";25;23,9007329514447;85,41;63,15;95,24
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen & Buiten";38;41,6171850506099;100;100;100
