"Versie";"Habitattype";"Habitatsubtype";"Indicator";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Versie 2.0";"91E0";"91E0_vo";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";18;18,8127710971964;62,72;37,92;82,25
"Versie 3";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";167;188,93555502286;60,76;52,75;68,24
"Versie 3";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"sleutelsoorten van de boom- en struiklaag";"Binnen";93;92,30381605635;66,08;55,12;75,56
"Versie 3";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"sleutelsoorten van de boom- en struiklaag";"Buiten";74;96,6317389665105;55,68;43,78;66,97
"Versie 3";"91E0";"91E0_va";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";47;61,5088071194143;76,22;61,25;86,66
"Versie 3";"91E0";"91E0_vc";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";25;23,9007329514447;61,93;40,57;79,5
"Versie 3";"91E0";"91E0_vm";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";38;41,6171850506099;55,54;39,21;70,76
"Versie 3";"91E0";"91E0_vn";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";39;43,0960588041952;42,25;26,94;59,2
"Versie 3";"91E0";"91E0_vo";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";18;18,8127710971964;62,72;37,92;82,25
"Versie 2.0";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";172;194,627861799648;29,2;22,43;37,05
"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"sleutelsoorten van de kruidlaag";"Binnen";97;95,97381605635;27,36;18,91;37,81
"Versie 2.0";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"sleutelsoorten van de kruidlaag";"Buiten";75;98,6540457432985;31;21,06;43,07
"Versie 2.0";"91E0";"91E0_va";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";51;66,2011138962023;46,13;32,29;60,6
"Versie 2.0";"91E0";"91E0_vc";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";25;23,9007329514447;18,25;6,91;40,18
"Versie 2.0";"91E0";"91E0_vm";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";38;41,6171850506099;17,98;8,6;33,8
"Versie 2.0";"91E0";"91E0_vn";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";39;43,0960588041952;33,54;19,8;50,78
"Versie 2.0";"91E0";"91E0_vo";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Versie 3";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";172;194,627861799648;28,03;21,44;35,74
"Versie 3";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"sleutelsoorten van de kruidlaag";"Binnen";97;95,97381605635;30,89;22,2;41,17
"Versie 3";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"sleutelsoorten van de kruidlaag";"Buiten";75;98,6540457432985;25,26;16,06;37,37
"Versie 3";"91E0";"91E0_va";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";51;66,2011138962023;30,65;19,03;45,39
"Versie 3";"91E0";"91E0_vc";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";25;23,9007329514447;41,4;23,22;62,27
"Versie 3";"91E0";"91E0_vm";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";38;41,6171850506099;15,41;6,88;31
"Versie 3";"91E0";"91E0_vn";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";39;43,0960588041952;14,03;5,65;30,81
"Versie 3";"91E0";"91E0_vo";"sleutelsoorten van de kruidlaag";"Binnen & Buiten";19;19,8127710971964;60,15;36,37;79,95
"Versie 2.0";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"invasieve exoten";"Binnen & Buiten";172;194,627861799648;82,23;75,16;87,63
"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"invasieve exoten";"Binnen";97;95,97381605635;84,64;75,31;90,88
"Versie 2.0";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"invasieve exoten";"Buiten";75;98,6540457432985;79,89;68,47;87,9
"Versie 2.0";"91E0";"91E0_va";"invasieve exoten";"Binnen & Buiten";51;66,2011138962023;84,91;69,83;93,19
"Versie 2.0";"91E0";"91E0_vc";"invasieve exoten";"Binnen & Buiten";25;23,9007329514447;95,07;72,01;99,31
"Versie 2.0";"91E0";"91E0_vm";"invasieve exoten";"Binnen & Buiten";38;41,6171850506099;79,63;63,55;89,76
"Versie 2.0";"91E0";"91E0_vn";"invasieve exoten";"Binnen & Buiten";39;43,0960588041952;80,65;64,33;90,6
"Versie 2.0";"91E0";"91E0_vo";"invasieve exoten";"Binnen & Buiten";19;19,8127710971964;66,7;42,03;84,7
"Versie 2.0";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"ruderalisering";"Binnen & Buiten";172;194,627861799648;66,7;58,84;73,72
"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"ruderalisering";"Binnen";97;95,97381605635;77,71;66,85;85,77
"Versie 2.0";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"ruderalisering";"Buiten";75;98,6540457432985;55,98;44,05;67,26
"Versie 2.0";"91E0";"91E0_va";"ruderalisering";"Binnen & Buiten";51;66,2011138962023;58,14;43,48;71,48
